"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"7441","SLR_10",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7442","SLR_09",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7443","SLR_08",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7444","SLR_06",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7445","SLR_05",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7446","SLR_04",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7447","SLR_03",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7448","SLR_02",0,2020-05-13,6.30957344480193e-05,6309.57344480193
"7449","SLR_01",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7450","SLR_10",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7451","SLR_09",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7452","SLR_08",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7453","SLR_07",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7454","SLR_06",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7455","SLR_05",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7456","SLR_04",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7457","SLR_03",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7458","SLR_02",0,2020-05-14,6.30957344480193e-05,6309.57344480193
"7459","SLR_01",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7460","SLR_10",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7461","SLR_09",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7462","SLR_08",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7463","SLR_07",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7464","SLR_06",57,2020-05-15,0.000304789498962798,30478.9498962798
"7465","SLR_05",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7466","SLR_04",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7467","SLR_03",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7468","SLR_02",0,2020-05-15,6.30957344480193e-05,6309.57344480193
"7469","SLR_01",0,2020-05-16,6.30957344480193e-05,6309.57344480193
"7470","SLR_10",0,2020-05-16,6.30957344480193e-05,6309.57344480193
"7471","SLR_09",0,2020-05-16,6.30957344480193e-05,6309.57344480193
"7472","SLR_10",0,2020-05-18,6.30957344480193e-05,6309.57344480193
"7473","SLR_07",0,2020-05-18,6.30957344480193e-05,6309.57344480193
